Date,Open,High,Low,Close,Adj Close
10/8/2019,2416.300049,2424.399902,2385.669922,2386.679932,2386.679932
10/9/2019,2401.570068,2402.860107,2390.5,2395.590088,2395.590088
10/10/2019,2396.850098,2412.51001,2396.389893,2402.409912,2402.409912
10/11/2019,2415.5,2443.790039,2415.050049,2431.610107,2431.610107
10/14/2019,2431.610107,2431.610107,2413.169922,2426.47998,2426.47998
10/15/2019,2419.909912,2461.429932,2419.600098,2429.939941,2429.939941
10/16/2019,2427.560059,2430.169922,2416.530029,2424.780029,2424.780029
10/17/2019,2428.590088,2444.899902,2422.26001,2437.149902,2437.149902
10/18/2019,2425.030029,2441.379883,2423.600098,2440.300049,2440.300049
10/21/2019,2444.699951,2464.379883,2442.610107,2459.810059,2459.810059
10/22/2019,2461.26001,2479.659912,2452.320068,2464.550049,2464.550049
10/23/2019,2468.070068,2476.209961,2464.899902,2471.080078,2471.080078
10/24/2019,2476.929932,2486.340088,2460.120117,2471.889893,2471.889893
10/25/2019,2473.469971,2484.459961,2470.090088,2480.22998,2480.22998
10/28/2019,2483.219971,2493.320068,2462.219971,2462.219971,2462.219971
10/29/2019,2457.790039,2473.360107,2446.139893,2465.280029,2465.280029
10/30/2019,2465.280029,2465.280029,2445.25,2456.550049,2456.550049
10/31/2019,2456.550049,2457.02002,2432.830078,2450.98999,2450.98999
11/1/2019,2445.360107,2495.300049,2445.360107,2476.459961,2476.459961
11/4/2019,2476.459961,2496.149902,2476.459961,2491.350098,2491.350098
11/5/2019,2493.629883,2509.959961,2491.090088,2508.51001,2508.51001
11/6/2019,2507.709961,2510.429932,2488.52002,2500.780029,2500.780029
11/7/2019,2500.780029,2523.100098,2500.780029,2510.129883,2510.129883
11/8/2019,2503.110107,2505.439941,2487.780029,2503.679932,2503.679932
11/11/2019,2485.959961,2500.199951,2485.959961,2499.01001,2499.01001
11/12/2019,2498.540039,2500.889893,2471.129883,2476.290039,2476.290039
11/13/2019,2465.669922,2474.600098,2451.580078,2457.790039,2457.790039
11/14/2019,2457.409912,2463.860107,2443.669922,2447.639893,2447.639893
11/15/2019,2446.77002,2474.98999,2446.77002,2470.169922,2470.169922
11/18/2019,2461.699951,2461.699951,2437.570068,2442.810059,2442.810059
11/19/2019,2442.780029,2444.52002,2429.659912,2429.659912,2429.659912
11/20/2019,2436.280029,2449.409912,2425.129883,2429.719971,2429.719971
11/21/2019,2437,2446.350098,2426.280029,2444.080078,2444.080078
11/22/2019,2449.350098,2453.75,2429.800049,2430.570068,2430.570068
11/25/2019,2432.110107,2450.070068,2425.27002,2446.919922,2446.919922
11/26/2019,2447,2455.659912,2442.310059,2449.209961,2449.209961
11/27/2019,2454.610107,2461.570068,2440.360107,2459.469971,2459.469971
11/29/2019,2448.040039,2459.449951,2440.26001,2447.01001,2447.01001
12/2/2019,2436.340088,2446.709961,2430.370117,2441.02002,2441.02002
12/3/2019,2432.76001,2433.449951,2404.5,2404.5,2404.5
12/4/2019,2411.110107,2430.570068,2411.110107,2419.76001,2419.76001
12/5/2019,2420.840088,2433.77002,2412.840088,2421.310059,2421.310059
12/6/2019,2421.709961,2459.340088,2420.870117,2453.459961,2453.459961
12/9/2019,2453.459961,2455.949951,2441.409912,2447.379883,2447.379883
12/10/2019,2457.290039,2459.949951,2449.01001,2453.47998,2453.47998
12/11/2019,2455.409912,2459.719971,2444.360107,2456.280029,2456.280029
12/12/2019,2456.280029,2481.199951,2450.139893,2460.929932,2460.929932
12/13/2019,2461.290039,2484.820068,2458.52002,2473.639893,2473.639893
12/16/2019,2480.590088,2489.790039,2472.330078,2478.850098,2478.850098
12/17/2019,2477.639893,2502.570068,2477.639893,2484.419922,2484.419922
12/18/2019,2483.409912,2502.399902,2483.209961,2496.52002,2496.52002
12/19/2019,2496.52002,2515.199951,2495,2509.310059,2509.310059
12/20/2019,2509.310059,2519.639893,2500.72998,2501.870117,2501.870117
12/23/2019,2504.129883,2538.219971,2501.919922,2536.77002,2536.77002
12/24/2019,2534.179932,2542.639893,2528.560059,2541.679932,2541.679932
12/26/2019,2547.620117,2565.5,2541.679932,2552.5,2552.5
12/27/2019,2556.090088,2556.090088,2533.110107,2533.860107,2533.860107
12/30/2019,2532.030029,2544.879883,2530.330078,2543.919922,2543.919922
12/31/2019,2540.77002,2555.22998,2538.820068,2552.560059,2552.560059
1/2/2020,2563.050049,2572.25,2554.629883,2568.649902,2568.649902
